Date,True_Label,Pred_Label,Pred_Probability
2025-02-15,0,0,0.36546105
2025-02-16,0,1,0.549355
2025-02-17,1,1,0.59375834
2025-02-18,1,1,0.58051026
2025-02-19,1,1,0.58615994
2025-02-20,1,1,0.575404
2025-02-21,1,1,0.5279373
2025-02-22,0,0,0.43678713
2025-02-23,1,1,0.5155134
2025-02-24,0,0,0.38521138
2025-02-25,1,0,0.46503785
2025-02-26,0,0,0.4964257
2025-02-27,0,0,0.46104926
2025-02-28,0,0,0.4334462
2025-03-01,1,0,0.4376795
2025-03-02,0,0,0.3974898
2025-03-03,1,0,0.49084368
2025-03-04,1,1,0.5748498
2025-03-05,0,0,0.46157336
2025-03-06,1,0,0.49448356
2025-03-07,0,0,0.43785584
2025-03-08,0,0,0.35149544
2025-03-09,0,0,0.25296378
2025-03-10,0,0,0.43415856
2025-03-11,0,0,0.16530462
2025-03-12,1,1,0.60895866
2025-03-13,1,1,0.5520984
2025-03-14,1,1,0.6110699
2025-03-15,0,0,0.31934002
2025-03-16,0,0,0.26969475
2025-03-17,0,0,0.23216121
2025-03-18,0,0,0.38156697
2025-03-19,0,0,0.34013215
2025-03-20,0,0,0.28756803
2025-03-21,0,0,0.29852757
2025-03-22,0,0,0.30008012
2025-03-23,0,0,0.2491227
2025-03-24,0,0,0.3148539
2025-03-25,1,1,0.6022877
2025-03-26,0,0,0.31230867
2025-03-27,0,0,0.34518626
2025-03-28,0,0,0.35948554
2025-03-29,1,1,0.5809898
2025-03-30,1,1,0.6026671
2025-03-31,0,0,0.48344657
2025-04-01,0,0,0.31153068
2025-04-02,1,1,0.610752
2025-04-03,0,0,0.3619199
2025-04-04,0,0,0.21898386
2025-04-05,0,0,0.44104114
2025-04-06,0,0,0.4155845
2025-04-07,1,1,0.5933635
2025-04-08,1,1,0.54781604
2025-04-09,0,0,0.48627567
2025-04-10,1,0,0.43516758
2025-04-11,0,0,0.1972278
2025-04-12,0,0,0.23250456
2025-04-13,0,0,0.23965041
2025-04-14,0,0,0.4203214
2025-04-15,1,1,0.5936628
2025-04-16,0,0,0.41906023
2025-04-17,1,1,0.6295715
2025-04-18,1,1,0.60954285
2025-04-19,0,1,0.55587333
2025-04-20,0,0,0.20799428
2025-04-21,0,0,0.2557223
2025-04-22,0,0,0.4411981
2025-04-23,0,0,0.32704577
2025-04-24,1,1,0.5932385
2025-04-25,1,1,0.5990945
2025-04-26,0,0,0.46359354
2025-04-27,1,0,0.46374375
2025-04-28,0,0,0.45239717
2025-04-29,0,0,0.3355025
2025-04-30,0,0,0.26717
2025-05-01,0,0,0.45211783
2025-05-02,0,0,0.34210795
2025-05-03,0,1,0.563378
2025-05-04,0,0,0.37698588
2025-05-05,0,0,0.26441517
2025-05-06,0,1,0.62009245
2025-05-07,0,0,0.41640237
2025-05-08,1,1,0.6097027
2025-05-09,0,0,0.2900846
2025-05-10,0,0,0.44612357
2025-05-11,0,0,0.40475237
2025-05-12,1,0,0.44708443
2025-05-13,1,0,0.44132048
2025-05-14,1,1,0.60967666
2025-05-15,0,0,0.36009222
2025-05-16,0,0,0.23130094
2025-05-17,1,0,0.48565295
2025-05-18,0,0,0.316766
2025-05-19,1,1,0.5814762
2025-05-20,0,1,0.6088102
2025-05-21,0,0,0.35805628
2025-05-22,0,0,0.38938305
2025-05-23,1,1,0.6209723
2025-05-24,1,1,0.60042894
2025-05-25,1,1,0.58897716
2025-05-26,1,1,0.5521373
2025-05-27,0,0,0.43213177
2025-05-28,0,0,0.26160967
2025-05-29,0,0,0.24319354
2025-05-30,0,0,0.48801702
2025-05-31,0,0,0.4959703
2025-06-01,1,1,0.5688475
