Date,Pred_Label,Pred_Probability,True_Label
2025-02-15,0,0.46194303,0
2025-02-16,1,0.54410076,0
2025-02-17,1,0.56238246,1
2025-02-18,1,0.5574223,1
2025-02-19,1,0.5624228,1
2025-02-20,1,0.55195296,1
2025-02-21,1,0.5365681,1
2025-02-22,1,0.5131205,0
2025-02-23,1,0.537516,1
2025-02-24,0,0.46490765,0
2025-02-25,1,0.5242937,1
2025-02-26,1,0.5404734,0
2025-02-27,1,0.5230174,0
2025-02-28,0,0.4844401,0
2025-03-01,1,0.50442815,1
2025-03-02,0,0.49075705,0
2025-03-03,1,0.5233454,1
2025-03-04,1,0.5475444,1
2025-03-05,1,0.5208873,0
2025-03-06,1,0.53699416,1
2025-03-07,1,0.50496614,0
2025-03-08,0,0.44444877,0
2025-03-09,0,0.40381166,0
2025-03-10,1,0.5141828,0
2025-03-11,0,0.34841508,0
2025-03-12,1,0.5905737,1
2025-03-13,1,0.57513744,1
2025-03-14,1,0.5974584,1
2025-03-15,0,0.4601786,0
2025-03-16,0,0.4326203,0
2025-03-17,0,0.4026889,0
2025-03-18,0,0.478132,0
2025-03-19,0,0.43633235,0
2025-03-20,0,0.42280215,0
2025-03-21,0,0.42097378,0
2025-03-22,0,0.42498586,0
2025-03-23,0,0.3972602,0
2025-03-24,0,0.4347899,0
2025-03-25,1,0.57860255,1
2025-03-26,0,0.44662547,0
2025-03-27,0,0.47204643,0
2025-03-28,0,0.46581635,0
2025-03-29,1,0.5602083,1
2025-03-30,1,0.57871956,1
2025-03-31,1,0.5234973,0
2025-04-01,0,0.43732342,0
2025-04-02,1,0.58474404,1
2025-04-03,0,0.44348037,0
2025-04-04,0,0.36744782,0
2025-04-05,1,0.51486295,0
2025-04-06,0,0.49598968,0
2025-04-07,1,0.57378477,1
2025-04-08,1,0.56104743,1
2025-04-09,1,0.53309745,0
2025-04-10,1,0.5214668,1
2025-04-11,0,0.3812205,0
2025-04-12,0,0.41147667,0
2025-04-13,0,0.39248243,0
2025-04-14,0,0.49613374,0
2025-04-15,1,0.5828258,1
2025-04-16,0,0.49953988,0
2025-04-17,1,0.60104495,1
2025-04-18,1,0.5913183,1
2025-04-19,1,0.5715327,0
2025-04-20,0,0.39843604,0
2025-04-21,0,0.42544383,0
2025-04-22,1,0.51779044,0
2025-04-23,0,0.44298777,0
2025-04-24,1,0.5749177,1
2025-04-25,1,0.57623637,1
2025-04-26,1,0.5258185,0
2025-04-27,1,0.54150933,1
2025-04-28,1,0.53087926,0
2025-04-29,0,0.44815555,0
2025-04-30,0,0.41938576,0
2025-05-01,1,0.5325943,0
2025-05-02,0,0.44718257,0
2025-05-03,1,0.5824286,0
2025-05-04,0,0.4676734,0
2025-05-05,0,0.42172912,0
2025-05-06,1,0.59754324,0
2025-05-07,1,0.5058852,0
2025-05-08,1,0.5799749,1
2025-05-09,0,0.43364587,0
2025-05-10,1,0.51935667,0
2025-05-11,1,0.5040415,0
2025-05-12,1,0.52539873,1
2025-05-13,1,0.5269466,1
2025-05-14,1,0.5846285,1
2025-05-15,0,0.45324692,0
2025-05-16,0,0.3954692,0
2025-05-17,1,0.54933006,1
2025-05-18,0,0.42480773,0
2025-05-19,1,0.58112663,1
2025-05-20,1,0.59408617,0
2025-05-21,0,0.45673445,0
2025-05-22,1,0.5002959,0
2025-05-23,1,0.6035921,1
2025-05-24,1,0.5946756,1
2025-05-25,1,0.59093165,1
2025-05-26,1,0.58027,1
2025-05-27,1,0.5442027,0
2025-05-28,0,0.41735414,0
2025-05-29,0,0.4120536,0
2025-05-30,1,0.5691794,0
2025-05-31,1,0.5537486,0
2025-06-01,1,0.56911695,1
2025-06-02,0,0.42502776,0
2025-06-03,0,0.4582738,0
2025-06-04,1,0.565523,0
2025-06-05,1,0.57115656,1
